lat,lon,timestamp,amenity,name,tags,risk
49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}",2
49.260953,-123.125704,2019-08-02T18:11:20.000-07:00,fast_food,Salad Loop,{'opening_hours': 'Mo-Fr 07:00-17:00; Sa 10:00-14:30'},2
49.3708976,-123.2804478,2015-05-03T00:42:25.000-07:00,place_of_worship,St. Monica's Anglican Church,"{'addr:housenumber': '6404', 'addr:street': 'Wellington Avenue', 'denomination': 'anglican', 'religion': 'christian'}",3
49.264041399999996,-123.1534072,2019-08-29T18:50:05.000-07:00,fuel,Shell,"{'brand:wikidata': 'Q154950', 'addr:housenumber': '2103', 'website': 'https://www.shell.ca/', 'brand:wikipedia': 'en:Royal Dutch Shell', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'addr:street': 'West Broadway', 'fuel:diesel': 'yes', 'brand': 'Shell', 'fuel:octane_87': 'yes', 'operator': 'Shell'}",2
49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,Best Bite Indian Cuisine,"{'addr:housenumber': '10-3891', 'phone': '+1-604-370-4949', 'cuisine': 'indian', 'addr:street': 'Chatham Street', 'addr:postcode': 'V7E 2Z6', 'addr:city': 'Richmond'}",3
49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,pub,The Cambie,"{'toilets:wheelchair': 'no', 'wheelchair': 'limited', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}",3
49.0822808,-122.0561304,2018-02-12T01:42:34.000-08:00,fuel,Petro-Canada,{'name:en': 'Petrol Canada'},2
49.2659507,-123.2466297,2011-11-19T08:06:36.000-08:00,pub,Mahony and Sons,{'wheelchair': 'yes'},3
49.2692701,-123.0570393,2019-11-04T23:33:49.000-08:00,fuel,Petro-Canada,"{'brand:wikidata': 'Q1208279', 'addr:housenumber': '2398', 'phone': '+1-604-251-1455', 'brand:wikipedia': 'en:Petro-Canada', 'opening_hours': 'Mo-Fr 06:30-23:00; Sa-Su 07:00-23:00', 'addr:street': 'East 1st Avenue', 'addr:postcode': 'V5N 1C3', 'brand': 'Petro-Canada', 'operator': 'Petro-Canada', 'addr:city': 'Vancouver'}",2
49.2691285,-123.0561052,2015-09-03T03:39:37.000-07:00,fuel,,{'operator': 'Chevron'},2
49.3285566,-123.1571712,2019-12-28T18:04:08.000-08:00,fuel,Esso,"{'brand:wikidata': 'Q867662', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}",2
49.3279474,-123.1563947,2008-11-10T05:46:54.000-08:00,fuel,Petro Canada,{'created_by': 'Potlatch 0.10f'},2
49.3278833,-123.1519451,2008-11-14T05:58:14.000-08:00,fuel,Shell,{'created_by': 'Potlatch 0.10f'},2
49.3451932,-123.1497994,2008-11-14T06:03:08.000-08:00,school,Sentinel Secondary School,{'created_by': 'Potlatch 0.10f'},2
49.3452212,-123.152503,2008-11-14T06:03:29.000-08:00,school,Chartwell Elementary School,{'created_by': 'Potlatch 0.10f'},2
49.3299977,-123.1523829,2019-09-13T13:56:49.000-07:00,school,Hollyburn Elementary School,"{'addr:housenumber': '1329', 'website': 'https://westvancouverschools.ca/hollyburn-elementary/', 'addr:street': 'Duchess Avenue', 'addr:postcode': 'V7T 1H5', 'addr:city': 'West Vancouver'}",2
49.3347474,-123.1699181,2016-02-26T08:40:43.000-08:00,school,Pauline Johnson Elementary School,{},2
49.2811586,-123.0767324,2018-05-16T22:30:01.000-07:00,community_centre,Korean Community Centre,"{'addr:housenumber': '1320', 'addr:street': 'East Hastings Street', 'phone': '+1-604-255-3739', 'addr:postcode': 'V5L 1S3', 'addr:city': 'Vancouver'}",3
49.1935797,-123.1807883,2019-09-14T05:00:22.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'indoor': 'yes', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",2
49.1933876,-123.1801028,2019-09-14T05:00:22.000-07:00,pharmacy,Pharmasave,"{'indoor': 'yes', 'level': '-1', 'healthcare': 'pharmacy'}",2
49.1932856,-123.1801496,2019-09-14T05:00:22.000-07:00,dentist,Vancouver Airport Dental Centre,"{'indoor': 'yes', 'level': '-1', 'healthcare': 'dentist'}",3
49.1932928,-123.1802849,2019-09-02T22:08:26.000-07:00,doctors,Ultima Medical Clinic,"{'opening_hours': 'Mo-Fr 08:00-17:00; Sa,Su off', 'indoor': 'yes', 'level': '-1', 'healthcare': 'doctor'}",3
49.1936961,-123.1802332,2020-03-04T08:57:42.000-08:00,post_office,YVR Domestic Terminal,"{'brand:wikidata': 'Q1032001', 'addr:housenumber': '3880', 'level': '-1', 'brand:wikipedia': 'en:Canada Post', 'description': 'Inside 7-Eleven', 'indoor': 'yes', 'addr:street': 'Grant McConachie Way', 'addr:postcode': 'V7B 1W0', 'brand': 'Canada Post', 'operator': 'Canada Post'}",2
49.2248856,-122.8913862,2018-04-26T05:25:14.000-07:00,childcare,Kids & Company,{},2
49.1338641,-122.8899466,2019-11-24T07:35:44.000-08:00,dentist,Aura Orthodontics,"{'addr:housenumber': '7192', 'website': 'https://www.auraortho.com', 'phone': '+1-604-593-5225', 'healthcare:speciality': 'orthodontics', 'opening_hours': 'Mo 09:00-17:30, Tu-We 10:00-18:30, Th-Fr 10:00-19:30, Sa 08:00-16:30', 'description': 'At Aura Orthodontics our goal is simple: to create the smile that you’ve always dreamed of! Stop by our Surrey Orthodontic Clinic', 'addr:street': '120 St', 'addr:postcode': 'V3W 3M8', 'healthcare': 'dentist', 'addr:city': 'Surrey'}",3
49.341975,-123.063321,2008-04-28T02:25:55.000-07:00,school,Carisbrook Elementary,{'created_by': 'Potlatch 0.8b'},2
49.0557594,-122.1951722,2017-06-22T21:48:35.000-07:00,public_building,Sumas First Nations Hall,{},2
49.2284004,-122.8483834,2019-11-20T11:48:37.000-08:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1450', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'United Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",2
49.2111765,-122.9232161,2019-07-02T01:10:30.000-07:00,fuel,Esso,"{'brand:wikidata': 'Q867662', 'website': 'https://www.esso.com/', 'brand:wikipedia': 'en:Esso', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'fuel:diesel': 'yes', 'brand': 'Esso', 'fuel:octane_87': 'yes', 'operator': 'Esso'}",2
49.212449,-122.9197493,2019-07-02T01:10:30.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'gps/photo survey', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}",2
49.212659,-122.9193469,2019-07-02T01:10:30.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",2
49.1332307,-122.5818649,2019-12-10T13:03:24.000-08:00,fuel,Chevron,"{'brand:wikidata': 'Q319642', 'brand:wikipedia': 'en:Chevron Corporation', 'fuel:octane_89': 'yes', 'addr:postcode': 'V2Y 2K2', 'fuel:diesel': 'yes', 'fuel:octane_87': 'yes', 'addr:housenumber': '23182', 'fuel:octane_94': 'yes', 'fuel:octane_91': 'yes', 'covered': 'yes', 'opening_hours': '24/7', 'self_service': 'yes', 'addr:street': '72 Avenue', 'brand': 'Chevron'}",2
49.1712762,-123.1348734,2019-10-27T17:08:25.000-07:00,restaurant,Oriental Rice Noodle,"{'addr:housenumber': '8100', 'phone': '+1-604-370-3738', 'opening_hours': 'Su-Th 11:00-22:30; Fr-Sa 11:00-23:00', 'cuisine': 'chinese', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond', 'name:zh': '雲尚過橋米線'}",3
