lat,lon,timestamp,amenity,name
49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,Starbucks
49.260953,-123.125704,2019-08-02T18:11:20.000-07:00,fast_food,Salad Loop
49.3734231,-123.2918935,2016-10-10T02:14:29.000-07:00,toilets,
49.2498481,-122.959708,2011-09-06T03:52:10.000-07:00,bbq,
49.3708976,-123.2804478,2015-05-03T00:42:25.000-07:00,place_of_worship,St. Monica's Anglican Church
49.219983,-122.988481,2010-02-26T02:20:23.000-08:00,post_box,
49.2802556,-122.9288938,2009-03-26T04:52:17.000-07:00,telephone,
49.264041399999996,-123.1534072,2019-08-29T18:50:05.000-07:00,fuel,Shell
49.3707611,-123.2742072,2015-10-24T19:42:51.000-07:00,toilets,
49.3705855,-123.2743869,2015-10-24T19:42:51.000-07:00,vending_machine,
49.3705742,-123.2743627,2015-10-24T19:42:51.000-07:00,vending_machine,
49.3705637,-123.2743775,2015-10-24T19:42:51.000-07:00,vending_machine,
49.3705707,-123.2744003,2015-10-24T19:42:51.000-07:00,vending_machine,
49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,Best Bite Indian Cuisine
49.2760753,-123.1271668,2015-10-26T07:17:38.000-07:00,parking_entrance,Hertz
49.4387129,-122.9712811,2015-10-27T17:40:23.000-07:00,toilets,
49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,pub,The Cambie
49.0822808,-122.0561304,2018-02-12T01:42:34.000-08:00,fuel,Petro-Canada
49.2658642,-123.2426102,2008-08-21T00:26:55.000-07:00,bicycle_parking,
49.2659507,-123.2466297,2011-11-19T08:06:36.000-08:00,pub,Mahony and Sons
49.2745364,-123.1536209,2019-06-11T21:09:49.000-07:00,toilets,
49.2692701,-123.0570393,2019-11-04T23:33:49.000-08:00,fuel,Petro-Canada
49.2691285,-123.0561052,2015-09-03T03:39:37.000-07:00,fuel,
49.3285566,-123.1571712,2019-12-28T18:04:08.000-08:00,fuel,Esso
49.3279474,-123.1563947,2008-11-10T05:46:54.000-08:00,fuel,Petro Canada
49.3278833,-123.1519451,2008-11-14T05:58:14.000-08:00,fuel,Shell
49.3451932,-123.1497994,2008-11-14T06:03:08.000-08:00,school,Sentinel Secondary School
49.3452212,-123.152503,2008-11-14T06:03:29.000-08:00,school,Chartwell Elementary School
49.3299977,-123.1523829,2019-09-13T13:56:49.000-07:00,school,Hollyburn Elementary School
